"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	0.8003255	1.0000000	0.4614712	0.2888228	0.3971757	0.0443564	0.3037429	0.1774859	0.0248774	0.1913974	0.1949759	0.0402923	0.0399447	0.8988334	0.9724665	0.0202024	0.2326210	0.1449047	0.1100796	0.4025662
250	0.8022923	1.0000000	0.4614712	0.2888227	0.3971757	0.0443567	0.3037436	0.1774857	0.0207128	0.1913974	0.1949759	0.0402916	0.0399447	0.9201313	0.9724675	0.0202024	0.2326210	0.1250833	0.1069237	0.4025662
300	0.8032168	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037439	0.1774856	0.0193671	0.1913974	0.1949759	0.0402913	0.0399447	0.9303454	0.9724679	0.0202023	0.2326210	0.1160400	0.1055713	0.4025661
350	0.8036368	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037440	0.1774855	0.0189388	0.1913974	0.1949759	0.0402912	0.0399447	0.9351169	0.9724681	0.0202023	0.2326210	0.1120502	0.1049917	0.4025661
400	0.8038231	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.0188036	0.1913974	0.1949759	0.0402911	0.0399447	0.9373092	0.9724682	0.0202023	0.2326210	0.1103309	0.1047434	0.4025661
450	0.8039043	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.0187611	0.1913974	0.1949759	0.0402911	0.0399447	0.9383053	0.9724683	0.0202023	0.2326210	0.1096027	0.1046370	0.4025661
500	0.8039392	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.0187478	0.1913974	0.1949759	0.0402911	0.0399447	0.9387547	0.9724683	0.0202023	0.2326210	0.1092983	0.1045914	0.4025661
550	0.7952383	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.1166961	0.1913974	0.1949759	0.0402911	0.0399447	0.8442582	0.9724683	0.0202023	0.2326210	0.2082461	0.1557810	0.4025661
600	0.7839925	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2004108	0.1913974	0.1949759	0.0402911	0.0399447	0.7235826	0.9724683	0.0202023	0.2326210	0.3325813	0.1940298	0.4025661
650	0.7766578	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2355460	0.1913974	0.1949759	0.0402910	0.0399447	0.6453129	0.9724683	0.0202023	0.2326210	0.4112012	0.2111320	0.4025661
700	0.7726883	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2480457	0.1913974	0.1949759	0.0402910	0.0399447	0.6028226	0.9724683	0.0202023	0.2326210	0.4524569	0.2184915	0.4025661
750	0.7707226	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2522104	0.1913974	0.1949759	0.0402910	0.0399447	0.5815336	0.9724683	0.0202023	0.2326210	0.4722746	0.2216465	0.4025661
800	0.7697986	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2535562	0.1913974	0.1949759	0.0402910	0.0399447	0.5713235	0.9724683	0.0202023	0.2326210	0.4813164	0.2229985	0.4025661
