"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
300	0.5847941	0.1260355	0.6819666	0.0639729	0.0014360	0.1123035	0.5060544	0.1329969	0.0780583	0.0149105	0.7316628	0.6861910	0.0602221	0.2435377	0.5813296	0.5657326	0.0829187	0.3139170	0.0854076	0.4252515
350	0.6274101	0.1953598	0.6736634	0.0194437	0.0039823	0.0809607	0.5777942	0.1585541	0.0981452	0.0281772	0.7491734	0.8414267	0.0361610	0.3302529	0.6744244	0.4804180	0.0717338	0.2858831	0.0324326	0.4471366
400	0.5243523	0.2093695	0.8821428	0.0176667	0.0010388	0.0827619	0.5016926	0.1060870	0.0577363	0.0131233	0.6351595	0.6814520	0.0695901	0.3412645	0.6639310	0.5092048	0.1360206	0.4031698	0.0493364	0.4477177
450	0.6257290	0.2022620	0.6959128	0.0243616	0.0011554	0.1054576	0.5499567	0.1459447	0.0484426	0.0119626	0.5892438	0.6888483	0.0377483	0.4254102	0.9002139	0.5313385	0.0716494	0.3593863	0.0661974	0.3607257
500	0.6671218	0.1710375	0.6968348	0.0353071	0.0001865	0.1447227	0.5988776	0.1713071	0.0511069	0.0151744	0.5259751	0.7221931	0.0365444	0.3698275	0.7015506	0.4111397	0.0816007	0.3479122	0.0599099	0.4370161
550	0.6262141	0.2569926	0.7413597	0.0208444	0.0111605	0.0873943	0.6198633	0.1793239	0.0401548	0.0210307	0.6854291	0.6464941	0.0473794	0.2604179	0.7955345	0.3207193	0.0796440	0.3323793	0.0547042	0.3571526
600	0.5622701	0.2017448	0.7968628	0.0457797	0.0233324	0.1067954	0.6135722	0.1611836	0.0783473	0.0086701	0.5971409	0.6296231	0.0413300	0.2770632	0.7948337	0.1483312	0.1193706	0.3262374	0.0928767	0.4506524
650	0.5413370	0.1754687	0.8222689	0.0496834	0.0331472	0.1240499	0.6232526	0.1419286	0.0596121	0.0361893	0.4297564	0.6629411	0.0295720	0.3369719	0.6647263	0.0348145	0.1042587	0.3628401	0.0751254	0.4367791
700	0.4378165	0.1549483	0.8449137	0.0291216	0.0148579	0.0773237	0.6081764	0.1789003	0.0863133	0.0191617	0.3837405	0.7386482	0.0522501	0.3364387	0.7308157	0.0105879	0.0731106	0.3551156	0.0588892	0.3755917
750	0.5839595	0.1474899	0.7704040	0.0385533	0.0218826	0.0402093	0.4063883	0.1862802	0.0921426	0.0426998	0.3072898	0.7276151	0.0621902	0.2944973	0.7794567	0.0035925	0.0349021	0.3375326	0.0410094	0.3412054
800	0.5333729	0.2301719	0.6657906	0.0290839	0.0090773	0.0645076	0.3474633	0.1928177	0.0806089	0.0237804	0.2809391	0.5904437	0.0302729	0.2069892	0.7151138	0.0167014	0.0406773	0.3446389	0.0176641	0.3382994
850	0.4092951	0.1559901	0.7177253	0.0391813	0.0186895	0.0447527	0.3185914	0.2027533	0.0588116	0.0446684	0.2923006	0.6349397	0.0371870	0.3019699	0.6490391	0.0111017	0.0594806	0.2479357	0.0521344	0.3544969
900	0.4799142	0.1960158	0.6864299	0.0272259	0.0108723	0.1163582	0.3042424	0.1321573	0.0578758	0.0159611	0.2415717	0.6658900	0.0422928	0.1938008	0.7277641	0.0052934	0.0889596	0.2892487	0.0237468	0.3055557
950	0.4173362	0.2561171	0.7728343	0.0179897	0.0602270	0.0573857	0.3464389	0.1684192	0.0550737	0.0217404	0.2455260	0.7224514	0.0246151	0.3098771	0.6600785	0.0042690	0.0734334	0.2467667	0.0614817	0.3365012
1000	0.6211034	0.1564314	0.6968231	0.0443281	0.0317832	0.0707337	0.3661576	0.1966507	0.0883277	0.0146170	0.1473763	0.7687232	0.0504783	0.2322977	0.6307224	0.0035485	0.0861750	0.2987860	0.0650958	0.3567540

0	0.6257300	0.1301492	0.6816278	0.0742494	0.0348961	0.1235728	0.4475160	0.1662048	0.1107691	0.0444495	0.2883575	0.7004370	0.0266142	0.2871822	0.7341320	0.0014522	0.0734088	0.4822675	0.0354071	0.4542912
50	0.5663758	0.1980855	0.6337983	0.0201538	0.0456896	0.0960302	0.5704889	0.1752954	0.0994909	0.0316617	0.3222056	0.7585150	0.0397875	0.2759265	0.8310084	0.1727865	0.3006489	0.3153678	0.0695208	0.3476722
100	0.5926799	0.2854832	0.7112505	0.0430647	0.0280340	0.1224550	0.5197209	0.2333369	0.1946565	0.0186169	0.4731025	0.7542599	0.0750156	0.3553252	0.6483634	0.2059723	0.1817160	0.4208151	0.0452833	0.3095924
150	0.6103030	0.1894195	0.6629154	0.0434632	0.0600731	0.1375373	0.6204730	0.1699494	0.2539230	0.0235797	0.4438256	0.7291669	0.0673830	0.2431432	0.7059866	0.2995220	0.2439606	0.5684582	0.0582328	0.3210783
200	0.6616226	0.1469755	0.7697918	0.0324697	0.0330710	0.1632033	0.5657078	0.1978809	0.2638322	0.0135630	0.4849322	0.6462856	0.0781234	0.2292288	0.7718214	0.3214761	0.2085986	0.4674508	0.0768275	0.4141826
250	0.6429550	0.2345430	0.6637000	0.0267559	0.0198202	0.1201998	0.4914367	0.1549316	0.2514907	0.0141101	0.5874723	0.7504284	0.0635211	0.2794431	0.5473248	0.3008957	0.2475039	0.3985342	0.0574187	0.4301321
