"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
150	0.4948681	0.3660034	0.4687191	0.1913677	0.2753566	0.1713747	0.3144135	0.0574896	0.2675073	0.1679308	0.2363580	0.0632665	0.0360314	0.4291328	0.5918412	0.0003334	0.2726889	0.4449678	0.4026186	0.3400437
200	0.4139816	0.3108141	0.4797227	0.2472401	0.2619801	0.1457116	0.3707694	0.0660378	0.2509708	0.2605192	0.2615360	0.0363368	0.0176662	0.4282734	0.6757608	0.0000592	0.2751151	0.4361092	0.5741695	0.4125004
250	0.1952112	0.3922277	0.4601523	0.2491260	0.2162074	0.1729164	0.2965466	0.1072772	0.1868422	0.3208031	0.3065414	0.0516391	0.0383185	0.3860242	0.7305077	0.0004294	0.3083147	0.5274266	0.5940646	0.5833541
300	0.2265500	0.2813553	0.6445739	0.2347008	0.2577544	0.0820165	0.4040353	0.0547374	0.1836979	0.3067665	0.3278124	0.0537035	0.0247592	0.3252012	0.5701690	0.0003078	0.3870900	0.4715993	0.5668201	0.5718833
350	0.2426690	0.3861361	0.5450660	0.2475957	0.2592312	0.0889326	0.3407076	0.0978867	0.1610085	0.3812102	0.2823060	0.0672521	0.0271503	0.2504501	0.5335936	0.0028498	0.3730381	0.5068372	0.6251071	0.5297806
400	0.1763682	0.3472935	0.5642333	0.2833314	0.2399006	0.0782258	0.3558072	0.0856271	0.2100001	0.3415767	0.3679095	0.0616977	0.0713429	0.2406461	0.5820845	0.0032276	0.3421003	0.5043596	0.6848097	0.4698970
450	0.2496957	0.3426137	0.5760902	0.2699333	0.2721049	0.0520831	0.3848223	0.1238622	0.1933257	0.3848935	0.3643815	0.0398225	0.0335763	0.2648893	0.6153488	0.0005924	0.4430351	0.5522273	0.5264855	0.5587574
500	0.1002414	0.4366369	0.6509758	0.2556537	0.3355196	0.1070012	0.4020284	0.1433284	0.1317462	0.2842125	0.3402263	0.0535466	0.0234414	0.2812603	0.6425284	0.0046040	0.3593931	0.5021306	0.8333808	0.5241971
550	0.1212164	0.4498125	0.6956733	0.4516690	0.3936658	0.0313158	0.3140037	0.3346366	0.1741303	0.4480413	0.3162067	0.0949447	0.0415955	0.2545871	0.6525579	0.0067877	0.4016271	0.5858829	0.6263640	0.5450997
600	0.2490982	0.6099968	0.5261573	0.4411473	0.4797143	0.0333653	0.3082161	0.3526343	0.1440877	0.4582716	0.2383090	0.0424845	0.0417274	0.2399499	0.6388757	0.0206243	0.2908358	0.6430569	0.5867619	0.4990197
650	0.3159311	0.7148458	0.4901281	0.4365833	0.4373130	0.0061524	0.2495461	0.2908657	0.1336213	0.3531758	0.2287981	0.0431499	0.0165277	0.2802765	0.6311181	0.0248538	0.2953114	0.4418848	0.3968159	0.3933458
700	0.3937215	0.6557896	0.3671591	0.2964101	0.3476392	0.0305653	0.2020931	0.2750456	0.1272806	0.3013216	0.2658189	0.0224111	0.0455454	0.3447336	0.6849107	0.0466067	0.2674929	0.4421560	0.3550316	0.4078827
750	0.6102207	0.6812377	0.4301840	0.4274157	0.2852904	0.0113333	0.3070574	0.1441560	0.1742919	0.2079052	0.1238938	0.0329371	0.0346594	0.4567777	0.6056899	0.0253988	0.2219572	0.4474583	0.3582506	0.2807137
800	0.5478147	0.6580063	0.4697453	0.2717897	0.3662541	0.0082296	0.2376785	0.1581516	0.0863387	0.1393000	0.1566604	0.0563036	0.0430530	0.3292031	0.7795981	0.0222643	0.2240263	0.3837657	0.2805199	0.3380953
850	0.5434872	0.8577001	0.3375183	0.2657263	0.3502700	0.0297869	0.1819000	0.1444240	0.1345300	0.1260615	0.1333429	0.0345609	0.0326514	0.4774882	0.6318693	0.0199715	0.1835339	0.4172292	0.2726026	0.3302675
900	0.5281081	0.7823549	0.3787431	0.2998747	0.2241613	0.0200134	0.2276206	0.1975406	0.1793055	0.1820063	0.1081597	0.0376905	0.0172022	0.5356777	0.8235026	0.0168794	0.3341452	0.3759889	0.1858112	0.3017679
950	0.5381508	0.6027599	0.3994930	0.3592075	0.2321811	0.0291569	0.2443476	0.1619766	0.1220865	0.1989664	0.1377288	0.0340903	0.0483911	0.4627527	0.7269861	0.0103244	0.2384859	0.3628602	0.1872446	0.3062355
1000	0.5644919	0.6164362	0.4156491	0.3377212	0.3133042	0.0088574	0.3345095	0.1123192	0.1195198	0.1726782	0.2299209	0.0280964	0.0344670	0.4702623	0.6865257	0.0320258	0.2601973	0.3993171	0.2218605	0.3158615

0	0.5918821	0.7018683	0.3060568	0.1613906	0.2401909	0.0135375	0.1979276	0.1302246	0.2115701	0.1555519	0.1347739	0.0120750	0.0306462	0.4344135	0.7495830	0.0110551	0.1686721	0.3791693	0.1551609	0.3696010
50	0.4723126	0.6504415	0.2288907	0.1209725	0.2701731	0.0880362	0.1976416	0.0914767	0.1636784	0.1339605	0.1241380	0.0171248	0.0189960	0.4017709	0.7057721	0.0098306	0.1937818	0.3020696	0.2062836	0.2704574
100	0.5128880	0.7886391	0.2220777	0.1954638	0.2796315	0.0936777	0.1998266	0.1200326	0.1767431	0.1058452	0.1549070	0.0113786	0.0525148	0.4527858	0.7394913	0.0167087	0.1819207	0.3707960	0.0964597	0.2501760
