"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
100	0.6815812	0.0032327	0.6649381	0.0315857	0.1780710	0.1062758	0.4381753	0.6765136	0.2960278	0.0993298
150	0.6157989	0.0030683	0.7088522	0.0505279	0.1336030	0.1601595	0.4071193	0.6173795	0.3441604	0.1161093
200	0.6086145	0.0003306	0.5743161	0.0483015	0.2203083	0.1231569	0.3820180	0.7649970	0.3287775	0.0782968
250	0.6352805	0.0028832	0.7647286	0.0552004	0.1879093	0.1943696	0.3752773	0.5504522	0.3644425	0.1108192
300	0.6471141	0.0017824	0.6267945	0.0295510	0.1350322	0.0935645	0.4622294	0.7076402	0.3863759	0.0754560
350	0.7277368	0.0065069	0.7095668	0.0273169	0.1033667	0.1685239	0.4355909	0.6455594	0.3331020	0.1272634
400	0.6670571	0.0057924	0.6698507	0.0467693	0.1163921	0.1432125	0.3484943	0.7035955	0.2809490	0.0916007
450	0.7423408	0.0020778	0.7385217	0.0590048	0.0857362	0.1299842	0.4326597	0.6534599	0.3148598	0.0632234
500	0.6914853	0.0013863	0.5651999	0.0416778	0.2081762	0.1307104	0.3593946	0.6782296	0.3550706	0.1071235
550	0.6542119	0.0019647	0.6126843	0.0385740	0.1911493	0.1116143	0.1734238	0.7860266	0.2956267	0.0759551
600	0.8542648	0.0020557	0.6339273	0.0361362	0.1327800	0.1352784	0.2030549	0.6660999	0.2469141	0.0588170
650	0.6737757	0.0000470	0.6875365	0.0560963	0.2115284	0.1746367	0.1085806	0.6431162	0.3042079	0.0948431
700	0.7893689	0.0172286	0.7325388	0.0377198	0.2345526	0.1100978	0.1381331	0.8313653	0.3340274	0.0572349
750	0.6228456	0.0059184	0.7876834	0.0595853	0.1814588	0.1797575	0.1158170	0.7154329	0.2911837	0.0791986
800	0.6462415	0.0118869	0.6793646	0.0229296	0.1009204	0.1521957	0.1347597	0.6567261	0.2980111	0.0830698
850	0.7254863	0.0032610	0.5926465	0.0621335	0.1387452	0.0994541	0.1040523	0.6851278	0.3944020	0.0622548
900	0.6782965	0.0083457	0.6869286	0.0828209	0.1237541	0.1915818	0.1129197	0.7550265	0.3145113	0.0934015
