"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
100	1.0000000	0.0035645	1.0000000	0.0278101	0.2233559	0.1366683	0.0994479	0.9994186	0.4813908	0.4440745
150	1.0000000	0.0035645	1.0000000	0.0171316	0.2227568	0.1149155	0.0712258	0.9996942	0.4856983	0.5016420
200	1.0000000	0.0035645	1.0000000	0.0122051	0.2223729	0.1044086	0.0587932	0.9998590	0.4890273	0.5174593
250	1.0000000	0.0035645	1.0000000	0.0100355	0.2221689	0.0997232	0.0537898	0.9999387	0.4910993	0.5198603
300	1.0000000	0.0035645	1.0000000	0.0090967	0.2220702	0.0977241	0.0518801	0.9999734	0.4922548	0.5191844
350	1.0000000	0.0035645	1.0000000	0.0086934	0.2220247	0.0968926	0.0511762	0.9999877	0.4928612	0.5182981
400	1.0000000	0.0035645	1.0000000	0.0085206	0.2220045	0.0965514	0.0509229	0.9999934	0.4931681	0.5177215
450	1.0000000	0.0035645	1.0000000	0.0084466	0.2219956	0.0964123	0.0508334	0.9999956	0.4933198	0.5174119
500	1.0000000	0.0035645	1.0000000	0.0084150	0.2219918	0.0963558	0.0508022	0.9999965	0.4933935	0.5172598
550	1.0000000	0.0035645	1.0000000	0.0280795	0.2219939	0.1282221	0.0995528	0.9999920	0.4930828	0.3332745
600	1.0000000	0.0035645	1.0000000	0.0482336	0.2220762	0.1643187	0.1521593	0.9999246	0.4907821	0.1809084
650	1.0000000	0.0035645	1.0000000	0.0589090	0.2223688	0.1859823	0.1803358	0.9997472	0.4870141	0.1290429
700	1.0000000	0.0035645	1.0000000	0.0638342	0.2228115	0.1973939	0.1929407	0.9995281	0.4834548	0.1194477
750	1.0000000	0.0035645	1.0000000	0.0660033	0.2232446	0.2030994	0.1981522	0.9993443	0.4808721	0.1210687
800	1.0000000	0.0035645	1.0000000	0.0669418	0.2235757	0.2058627	0.2002213	0.9992206	0.4792521	0.1239069
850	1.0000000	0.0035645	1.0000000	0.0673451	0.2237933	0.2071692	0.2010253	0.9991480	0.4783220	0.1258558
900	1.0000000	0.0035645	1.0000000	0.0675178	0.2239229	0.2077750	0.2013345	0.9991088	0.4778177	0.1269291
950	1.0000000	0.0035645	1.0000000	0.0675918	0.2239951	0.2080514	0.2014531	0.9990890	0.4775547	0.1274639
1000	1.0000000	0.0035645	1.0000000	0.0676234	0.2240333	0.2081760	0.2014986	0.9990793	0.4774215	0.1277161

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	0.7918120	0.0023231	0.3488287	0.0573551	0.2439097	0.2741048	0.2208470	0.9992087	0.4787827	0.1274168
100	0.6008674	0.0337808	0.1261695	0.1962129	0.3245932	0.5600907	0.3162296	0.9995353	0.5186751	0.1515474
150	0.5158493	0.2495808	0.0825192	0.3825066	0.4467595	0.7934908	0.4340877	0.9996302	0.6297868	0.2754822
200	0.4844187	0.4451924	0.0741821	0.4912429	0.6062623	0.9133876	0.5303951	0.9995406	0.6970349	0.4183901
250	0.4737422	0.5434704	0.0725924	0.5432098	0.7398769	0.9656454	0.5961435	0.9994037	0.7143484	0.5167062
300	0.4702825	0.5842178	0.0722893	0.5664428	0.8260424	0.9866514	0.6357122	0.9992866	0.7118053	0.5710335
350	0.4691934	0.5997300	0.0722315	0.5765640	0.8746664	0.9947050	0.6574470	0.9992068	0.7053585	0.5979619
400	0.4688571	0.6053770	0.0722205	0.5809262	0.9001290	0.9977001	0.6686338	0.9991592	0.7000567	0.6105433
450	0.4687546	0.6073805	0.0722184	0.5827978	0.9128669	0.9987911	0.6741293	0.9991333	0.6966354	0.6162250
500	0.4687236	0.6080802	0.0722180	0.5835993	0.9190509	0.9991826	0.6767388	0.9991200	0.6946587	0.6187395
550	0.6769024	0.4839394	0.7233892	0.5740388	0.9105706	0.9607463	0.6382107	0.9850015	0.5890662	0.6039874
600	0.8678442	0.2262814	0.9460484	0.3566428	0.8378857	0.7597477	0.5117835	0.9363287	0.4426421	0.5046955
650	0.9528614	0.0909598	0.9896988	0.2049046	0.6856593	0.5444535	0.3815169	0.9338389	0.3954874	0.3898448
700	0.9842918	0.0355053	0.9980358	0.1288932	0.5071517	0.3910506	0.2918158	0.9580347	0.4058944	0.2981404
750	0.9949682	0.0148257	0.9996255	0.0943123	0.3749570	0.3001722	0.2426993	0.9783461	0.4298427	0.2305880
800	0.9984279	0.0074572	0.9999286	0.0791378	0.2981764	0.2520927	0.2192067	0.9896767	0.4495803	0.1851304
850	0.9995169	0.0048950	0.9999864	0.0725770	0.2587469	0.2284409	0.2088424	0.9950467	0.4622296	0.1576690
900	0.9998533	0.0040163	0.9999974	0.0697581	0.2398207	0.2173401	0.2044884	0.9973974	0.4694584	0.1425735
950	0.9999558	0.0037173	0.9999995	0.0685503	0.2310904	0.2122867	0.2027121	0.9983850	0.4733360	0.1348531
1000	0.9999868	0.0036161	0.9999999	0.0680333	0.2271613	0.2100318	0.2019993	0.9987914	0.4753358	0.1311063

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0022343	1.0000000	0.0458481	0.2157416	0.2075782	0.2014229	0.9991436	0.4486300	0.1734136
100	1.0000000	0.0009725	1.0000000	0.0235117	0.2052949	0.2039717	0.2009489	0.9994411	0.4217445	0.2012735
150	1.0000000	0.0003819	1.0000000	0.0116810	0.1987492	0.1994319	0.2004487	0.9997198	0.4095244	0.1979874
200	1.0000000	0.0001493	1.0000000	0.0062230	0.1953666	0.1960135	0.2001323	0.9998783	0.4048656	0.1862738
250	1.0000000	0.0000642	1.0000000	0.0038193	0.1937666	0.1940022	0.1999739	0.9999511	0.4032006	0.1766907
300	1.0000000	0.0000342	1.0000000	0.0027792	0.1930453	0.1929706	0.1999039	0.9999812	0.4026214	0.1709130
350	1.0000000	0.0000238	1.0000000	0.0023324	0.1927294	0.1924831	0.1998752	0.9999930	0.4024240	0.1678892
400	1.0000000	0.0000202	1.0000000	0.0021409	0.1925934	0.1922640	0.1998640	0.9999974	0.4023588	0.1664255
450	1.0000000	0.0000190	1.0000000	0.0020590	0.1925356	0.1921685	0.1998597	0.9999990	0.4023386	0.1657490
500	1.0000000	0.0000186	1.0000000	0.0020240	0.1925112	0.1921276	0.1998581	0.9999996	0.4023332	0.1654450
550	1.0000000	0.0013487	1.0000000	0.0238102	0.2006730	0.1923794	0.1998655	0.9999975	0.4323400	0.1154862
600	1.0000000	0.0026104	1.0000000	0.0461389	0.2105493	0.1945252	0.1999920	0.9999441	0.4610987	0.0880394
650	1.0000000	0.0032010	1.0000000	0.0579662	0.2167673	0.1983280	0.2003195	0.9997773	0.4737517	0.0938150
700	1.0000000	0.0034336	1.0000000	0.0634228	0.2202222	0.2020394	0.2007151	0.9995564	0.4777264	0.1066943
750	1.0000000	0.0035187	1.0000000	0.0658260	0.2220789	0.2047445	0.2010428	0.9993646	0.4784325	0.1165192
800	1.0000000	0.0035488	1.0000000	0.0668658	0.2230588	0.2064144	0.2012623	0.9992331	0.4782197	0.1222783
850	1.0000000	0.0035591	1.0000000	0.0673125	0.2235662	0.2073434	0.2013911	0.9991548	0.4778864	0.1252642
900	1.0000000	0.0035627	1.0000000	0.0675039	0.2238238	0.2078257	0.2014605	0.9991124	0.4776342	0.1267095
950	1.0000000	0.0035639	1.0000000	0.0675858	0.2239520	0.2080643	0.2014957	0.9990907	0.4774775	0.1273805
1000	1.0000000	0.0035643	1.0000000	0.0676208	0.2240146	0.2081782	0.2015128	0.9990802	0.4773890	0.1276836

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0035646	1.0000000	0.0478555	0.2239496	0.1928721	0.2014317	0.9991377	0.4779622	0.1247274
100	1.0000000	0.0035645	1.0000000	0.0275757	0.2233535	0.1737017	0.2009868	0.9994199	0.4814123	0.1072506
150	1.0000000	0.0035645	1.0000000	0.0168344	0.2227542	0.1610427	0.2005002	0.9996957	0.4857380	0.0830874
200	1.0000000	0.0035645	1.0000000	0.0118789	0.2223709	0.1540591	0.2001784	0.9998602	0.4890766	0.0631360
250	1.0000000	0.0035645	1.0000000	0.0096965	0.2221677	0.1505673	0.2000088	0.9999396	0.4911515	0.0503775
300	1.0000000	0.0035645	1.0000000	0.0087522	0.2220694	0.1489249	0.1999295	0.9999740	0.4923068	0.0433208
350	1.0000000	0.0035645	1.0000000	0.0083465	0.2220242	0.1481816	0.1998947	0.9999882	0.4929122	0.0397475
400	1.0000000	0.0035645	1.0000000	0.0081727	0.2220041	0.1478533	0.1998801	0.9999938	0.4932182	0.0380366
450	1.0000000	0.0035645	1.0000000	0.0080983	0.2219953	0.1477105	0.1998741	0.9999960	0.4933693	0.0372468
500	1.0000000	0.0035645	1.0000000	0.0080665	0.2219915	0.1476489	0.1998717	0.9999969	0.4934427	0.0368910
550	1.0000000	0.0035645	1.0000000	0.0278467	0.2219935	0.1627141	0.1998845	0.9999925	0.4931338	0.0407809
600	1.0000000	0.0035645	1.0000000	0.0481194	0.2220745	0.1807793	0.2000345	0.9999259	0.4908336	0.0609733
650	1.0000000	0.0035645	1.0000000	0.0588576	0.2223656	0.1928845	0.2003743	0.9997490	0.4870564	0.0861084
700	1.0000000	0.0035645	1.0000000	0.0638118	0.2228080	0.2000975	0.2007627	0.9995297	0.4834839	0.1050693
750	1.0000000	0.0035645	1.0000000	0.0659936	0.2232417	0.2041149	0.2010757	0.9993454	0.4808898	0.1164317
800	1.0000000	0.0035645	1.0000000	0.0669377	0.2235737	0.2062333	0.2012820	0.9992213	0.4792622	0.1224448
850	1.0000000	0.0035645	1.0000000	0.0673433	0.2237921	0.2073016	0.2014019	0.9991483	0.4783274	0.1254009
900	1.0000000	0.0035645	1.0000000	0.0675171	0.2239223	0.2078216	0.2014660	0.9991090	0.4778205	0.1267885
950	1.0000000	0.0035645	1.0000000	0.0675914	0.2239947	0.2080676	0.2014984	0.9990891	0.4775561	0.1274205
1000	1.0000000	0.0035645	1.0000000	0.0676233	0.2240331	0.2081815	0.2015141	0.9990794	0.4774222	0.1277027
