"Time"	relE	relB	hokD	alaS	ilvN
400	0.0881036	0.1522171	0.6301875	0.6339965	0.6750464
450	0.1021584	0.1345178	0.5975718	0.5526394	0.6292942
500	0.1285539	0.1199205	0.5587982	0.6299236	0.8308641
550	0.0831975	0.2351006	0.4688143	0.6872003	0.6995366
600	0.1721702	0.4641357	0.4124825	0.5929828	0.5757091
650	0.0892689	0.6486932	0.1691519	0.7855956	0.6449356
700	0.0579826	0.5035464	0.0886379	0.6094029	0.8459169
750	0.0533840	0.7038394	0.1426529	0.6771209	0.7062963
800	0.0505940	0.8424911	0.0904520	0.6801498	0.5866492
850	0.0537961	0.7030784	0.0761375	0.5552745	0.6243259
900	0.0943844	0.7478455	0.0912470	0.7029141	0.7091937
950	0.0641036	0.7241129	0.0565072	0.7275040	0.5441949
1000	0.0586355	0.6898148	0.0721257	0.7804920	0.6412317

0	0.0957083	0.7402843	0.0958429	0.6134796	0.6333757
50	0.0861438	0.7604409	0.0427058	0.6938270	0.3818291
100	0.0334373	0.5976196	0.0349192	0.6358970	0.3277208
150	0.0162618	0.7525726	0.0315028	0.7631534	0.1993421
200	0.0246335	0.8007703	0.0152542	0.6561888	0.1103827
250	0.0533914	0.7073933	0.0161361	0.6961727	0.1733467
300	0.0413076	0.7740897	0.0102385	0.7581523	0.0840943
350	0.0439806	0.6350384	0.0420182	0.7206307	0.1022121
400	0.0460872	0.6628434	0.0399128	0.6965789	0.0895219
450	0.0403979	0.6403242	0.0056824	0.6371769	0.1190923
500	0.0319252	0.7584056	0.0186369	0.6185226	0.0669016
550	0.0350826	0.8166347	0.0808329	0.5797178	0.3568302
600	0.0527325	0.7972911	0.0730057	0.6795554	0.6533721
650	0.0954510	0.7216141	0.0478292	0.6177443	0.7253762
700	0.0627803	0.8208116	0.0746868	0.8134189	0.6344531
750	0.0733526	0.6623990	0.0467982	0.6990920	0.6308414
800	0.0735042	0.8161929	0.0770730	0.8200951	0.7000615
