"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
850	0.0169195	1.0604808	1.0028328	0.9904840	0.3750492	0.0088430	0.8404043	0.0143526	0.9859369	0.0022254
900	0.0170640	1.0938152	0.9828764	1.0665710	0.3983004	0.0088419	0.7856498	0.0056769	0.9546391	0.0110352
950	0.0196931	1.0654645	1.0057790	0.9454958	0.4126697	0.0024951	0.7484224	0.0252404	0.9078271	0.0173591
1000	0.0161344	1.1547511	1.0061341	1.0103882	0.3675324	0.0116185	0.7853477	0.0320768	0.8964344	0.0102753

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0220741	1.0252891	0.5064449	0.9546987	0.3886917	0.0069361	0.8264493	0.4546058	0.8476191	0.0132207
100	0.0124937	1.0319450	0.3587629	0.9235139	0.4355734	0.0022617	0.7617356	0.5148054	0.9071563	0.0151683
150	0.0030362	0.9765887	0.2791933	1.0806602	0.3469408	0.0084711	0.7393672	0.5892376	0.8075586	0.0113778
200	0.0344553	0.9137257	0.3416420	0.9865271	0.4040469	0.0077182	0.7503959	0.5507486	0.9672232	0.0131405
250	0.0270394	1.0037906	0.3716036	0.9821230	0.4009189	0.0085905	0.7925258	0.5463208	0.9835967	0.0146165
300	0.0300820	1.0387886	0.3786009	0.9863850	0.4096871	0.0081113	0.8214911	0.5596535	0.9569502	0.0074753
350	0.0206862	1.1074681	0.3926123	0.9609150	0.3940736	0.0159923	0.8601651	0.5436890	0.8830408	0.0250414
400	0.0253252	1.1241752	0.3780561	0.9597498	0.3693585	0.0125347	0.8570231	0.5828339	0.9772366	0.0171755
450	0.0258704	0.9777491	0.3353485	0.9685898	0.3627086	0.0126952	0.8150879	0.5410737	1.0212342	0.0151280
500	0.0390785	1.0417199	0.3648073	0.9852880	0.3084152	0.0127915	0.7573201	0.5696394	0.9691828	0.0176728
550	0.0252526	0.9934519	0.9049176	0.9485768	0.3634013	0.0103695	0.7750701	0.1413788	0.9027514	0.0261528
600	0.0180227	0.9846177	0.9748912	1.0019997	0.4221408	0.0147884	0.7280708	0.0476204	0.8866928	0.0185371
650	0.0070068	0.9685132	0.9018205	0.9470002	0.3953820	0.0091689	0.7794533	0.0207768	0.9301478	0.0262503
700	0.0067768	1.1011150	0.9902876	0.9635630	0.4163333	0.0094489	0.8125972	0.0184306	0.9424477	0.0190396
750	0.0158993	1.0434637	0.9315188	0.9990407	0.3685059	0.0125294	0.8526434	0.0187857	0.9564359	0.0315810
