"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
200	0.0000000	0.8687521	0.5327283	0.4981482	0.4525729	0.0279700	0.7990789	0.0038415	0.7504570	0.4078884
250	0.0007781	0.8176809	0.5016567	0.5862806	0.4433144	0.0372188	0.7648530	0.0014411	0.7218853	0.4472224
300	0.0008422	0.8198287	0.5567552	0.5269974	0.5106263	0.0246586	0.7027307	0.0046909	0.7130022	0.4732524
350	0.0026719	0.8100351	0.5337201	0.4867435	0.5254278	0.0462644	0.6632572	0.0064551	0.8288333	0.4730640
400	0.0030211	0.9543846	0.5353781	0.4183626	0.5003993	0.0369933	0.6841318	0.0051060	0.7848623	0.4906377
450	0.0011278	0.9390200	0.5167709	0.4401933	0.5187123	0.0404006	0.6531413	0.0071303	0.8807849	0.5600459
500	0.0006963	0.9667660	0.5049074	0.4725939	0.5303216	0.0479532	0.6377126	0.0016309	0.7281652	0.5406906
550	0.0129032	0.9247445	0.6497310	0.6003982	0.6332993	0.0294960	0.7210180	0.0044427	0.7471122	0.2268412
600	0.0219844	1.0521616	0.8447879	0.8062749	0.5360951	0.0179148	0.9194392	0.0122667	0.7957470	0.0618153
650	0.0449240	1.0936482	0.9232298	0.9529703	0.5270511	0.0120805	0.8395028	0.0172129	0.9461823	0.0173081
700	0.0274323	1.1294576	0.9384969	1.0503175	0.4902427	0.0069471	0.7532477	0.0244218	0.8463085	0.0240864
750	0.0222406	1.0376528	1.0169486	1.0050360	0.4297593	0.0094523	0.7837833	0.0300873	0.9364561	0.0255616
800	0.0145373	1.0030326	1.0630718	0.9680473	0.3986217	0.0043685	0.7789323	0.0196508	0.9211726	0.0230285
850	0.0194583	1.0318243	1.0685084	1.0012748	0.3710674	0.0154470	0.7712012	0.0249560	0.9486149	0.0206068
900	0.0217662	1.0494743	1.0321501	0.9629134	0.3320084	0.0280815	0.7118908	0.0231370	0.9018573	0.0093183
950	0.0231310	0.9924392	1.0108562	0.9646569	0.4118254	0.0254852	0.7613975	0.0308501	0.9427012	0.0047610
1000	0.0259949	0.9948858	0.9428503	0.8835925	0.4028061	0.0169522	0.8177008	0.0412080	0.8417022	0.0260760

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0162950	0.8167218	0.9997295	0.6098721	0.4084354	0.0045119	0.8787918	0.0104043	0.9686796	0.0606924
100	0.0225118	0.6351121	0.9931565	0.2961666	0.4806291	0.0137471	0.7370616	0.0043807	0.8244657	0.0932838
150	0.0840244	0.5238625	0.9622467	0.1568225	0.5138161	0.0093254	0.6369064	0.0151909	0.8833121	0.0851786
200	0.1090770	0.4275458	0.9964277	0.0826041	0.5846690	0.0135583	0.6667618	0.0222452	0.7376769	0.0913359
250	0.1771681	0.4370208	1.0053400	0.0822109	0.6373216	0.0142230	0.5694960	0.0253616	0.7311293	0.0840751
300	0.2637548	0.4640328	0.9167417	0.0720578	0.7669014	0.0131643	0.5549583	0.0236920	0.6053907	0.1060023
350	0.3731524	0.4669995	0.9351607	0.0174797	0.6980019	0.0117944	0.6349870	0.0385969	0.5069554	0.1069255
400	0.3692142	0.4759068	0.9680926	0.0230162	0.8368417	0.0111725	0.6515129	0.0237853	0.4058229	0.1540136
450	0.3912100	0.4272188	0.9574018	0.0294744	0.8183586	0.0123058	0.5890863	0.0331742	0.3334658	0.1873621
500	0.3705771	0.4668238	0.9398659	0.0102681	0.8191278	0.0155914	0.4960451	0.0229158	0.3281526	0.1771559
550	0.3969291	0.5793645	1.0005949	0.1016117	0.7664323	0.0135758	0.4980709	0.0184333	0.2943265	0.1763837
600	0.3475913	0.8577546	1.0469489	0.1502133	0.8936745	0.0052409	0.4135058	0.0555795	0.3764299	0.1163582
650	0.2192769	0.9106277	1.0435364	0.1901545	0.7686035	0.0061664	0.3630903	0.0697517	0.4619770	0.1046410
700	0.1398261	0.9915395	1.0196721	0.2334843	0.6019382	0.0067938	0.5396822	0.0738697	0.5082826	0.0806397
750	0.1255180	0.9331943	1.0429975	0.3359135	0.5832047	0.0026997	0.5808454	0.0610970	0.6748445	0.0363021
800	0.1210099	0.9616615	1.0055273	0.4171265	0.6164086	0.0016798	0.6440295	0.0740583	0.8579173	0.0322517
850	0.0724667	1.0236692	0.9818193	0.4896213	0.5779451	0.0080077	0.7083744	0.1019576	0.9508325	0.0413334
900	0.0517516	0.9548902	0.9140822	0.6383840	0.6190303	0.0123960	0.7118301	0.0516460	0.9571075	0.0220562
950	0.0284951	0.9749186	0.8998891	0.8467199	0.5350655	0.0260530	0.7822879	0.0540474	0.9691491	0.0050007
