"Time"	relE	relB	hokD	alaS	ilvN
150	0.0895683	0.8096553	0.0677331	0.6392022	0.0899877
200	0.0480367	0.7685478	0.0614294	0.6107138	0.0275217
250	0.0536565	0.7255029	0.0559084	0.9165385	0.0311259
300	0.0727589	0.7794066	0.0662597	0.8845470	0.0185335
350	0.0916403	0.7646085	0.0612415	0.7563237	0.0047364
400	0.0926291	0.8577553	0.0963715	0.6686511	0.0074404
450	0.0782093	0.8000274	0.0547100	0.6739612	0.0089610
500	0.0533735	0.7159912	0.0453209	0.8862051	0.0167379
550	0.0432856	0.7099589	0.1035728	0.9979743	0.3958993
600	0.1045351	0.7259679	0.1037251	0.7447289	0.5568636
650	0.0556509	0.7754682	0.1057673	0.7135047	0.7606950
700	0.0617565	0.8208856	0.0684061	0.6697306	0.6853375
750	0.0684559	0.6809670	0.1331717	0.5448541	0.6046265
800	0.1230037	0.7237510	0.0939045	0.7449034	0.6483517
850	0.0519735	0.7094385	0.0970719	0.9163033	0.8326270
900	0.0940612	0.7634633	0.0914985	0.8183109	0.5972066
950	0.0733132	0.7506835	0.0483696	0.7970561	0.7881276
1000	0.0495127	0.7997319	0.1029751	0.7528238	0.6441511

0	0.1055761	0.8069525	0.1237311	0.7910854	0.8339899
50	0.0725310	0.7387528	0.1132433	0.7211212	0.6485934
100	0.0496128	0.8898716	0.1056251	0.7475705	0.7145911
150	0.0226016	0.6973904	0.0711915	0.7376021	0.6879678
200	0.0051835	0.7196972	0.2519320	1.0218685	0.8196484
250	0.0102298	0.6996158	0.1896788	0.7061953	0.7746220
300	0.0027559	0.7466079	0.2046905	0.6725420	0.8340815
350	0.0035014	0.7773233	0.4845453	0.9351716	0.7437682
400	0.0010335	0.6493413	0.5336955	0.6023543	0.8167389
450	0.0014894	0.6403688	0.6904648	0.7722977	0.6405252
500	0.0006560	0.7041494	0.5496788	0.7190840	0.6571751
550	0.0364165	0.6644048	0.5630157	0.7314698	0.7238816
600	0.0432990	0.6807128	0.2606239	0.8914599	0.6903480
650	0.0571593	0.8788638	0.2156756	0.6134058	0.7773577
700	0.0753972	0.8073112	0.1262866	0.8697021	0.9088877
750	0.0726157	0.7498218	0.0848379	0.8284879	0.7750689
800	0.0890700	0.8153664	0.0979689	0.8646535	0.8454892
850	0.0632751	0.7643585	0.0938924	0.8655383	0.8056048
900	0.0852209	0.8090193	0.0761208	0.7491297	0.8114098
950	0.0746225	0.8593067	0.1272866	0.8366772	0.7547656
1000	0.0886806	0.7656396	0.0942502	0.7193939	0.7109227

0	0.1498220	0.7888144	0.0723516	0.8287232	0.6603289
50	0.0473636	0.7387670	0.1170028	0.8301523	0.6073923
100	0.0309657	0.7537641	0.1225757	0.6062046	0.7598975
150	0.0321835	0.7749213	0.1558700	0.7460043	0.8865786
200	0.0070676	0.8952397	0.2698533	0.6400598	0.8111887
250	0.0003548	0.7571301	0.3460770	0.6857824	0.7392175
300	0.0003747	0.7970983	0.6032404	0.6856249	0.7655718
350	0.0001420	0.8955014	0.6083569	0.6444258	0.7915618
400	0.0017456	0.7899157	0.6609351	0.8109648	0.7568677
450	0.0007958	0.7871373	0.7088142	0.6386482	0.6870924
500	0.0000000	0.8136372	0.5469921	0.6113933	0.6930704
550	0.0172267	0.8309471	0.4977990	0.6906028	0.8055115
600	0.0569972	0.7855666	0.3073733	0.8224536	0.7643433
650	0.0620195	0.8910697	0.1188690	0.7273664	0.7722145
700	0.1224026	0.7866160	0.1096597	0.7184433	0.6827276
750	0.0910284	0.7919684	0.0507132	0.7256600	0.7165456
800	0.1161037	0.6724791	0.0502166	0.8575378	0.7642643
850	0.0728449	0.6350205	0.0851674	0.8217550	0.6968974
900	0.0415504	0.6591145	0.1292365	0.7710929	0.6811657
950	0.0810732	0.7687378	0.0599823	0.9797766	0.7274217
1000	0.0546975	0.8903677	0.1088041	0.7113438	0.8724325

0	0.1112250	0.7224227	0.1109308	0.8402942	0.6166730
50	0.0713351	0.7547484	0.0375618	0.4913097	0.6857954
100	0.0586886	0.7866374	0.0572353	0.2660515	0.6620257
150	0.0476134	0.8645619	0.0361218	0.1312899	0.6083339
200	0.0960765	0.7962938	0.0366369	0.1032650	0.8061965
250	0.0875915	0.6758464	0.0173473	0.1063652	0.7363455
300	0.0888408	0.8421580	0.0182816	0.1437500	0.6008492
350	0.1506041	0.8201305	0.0062929	0.1063799	0.6825968
400	0.0625036	0.6596171	0.0305236	0.0464649	0.5515060
450	0.1013631	0.7676770	0.0137588	0.0913867	0.5400286
500	0.0895090	0.6542327	0.0343612	0.1535848	0.4488988
550	0.0641186	0.6458993	0.0643176	0.4033846	0.5588069
600	0.0894433	0.7456608	0.0648373	0.5586579	0.7920546
650	0.0827766	0.7428320	0.0790214	0.5750448	0.7677792
700	0.0958587	0.8030035	0.1006076	0.7555798	0.8075508
750	0.0550155	0.9427223	0.0547968	0.7256286	0.6906415
800	0.1040252	0.7092930	0.1133903	0.6675896	0.7519239
850	0.0900397	0.7844350	0.0815781	0.7605497	0.6165502
900	0.0699715	0.7298937	0.0913694	0.6529633	0.5093567
950	0.0706830	0.5438648	0.0606379	0.7073804	0.8276608
1000	0.0710604	0.8815804	0.0966561	0.7648006	0.7176568

0	0.1296975	0.8871010	0.0942899	0.7110476	0.6439421
