"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
350	0.3719986	0.6404084	0.1289128	0.4377042	0.5237727	0.0420147	0.2119253	0.2084154	0.1988591	0.0583526	0.2348924	0.0619311	0.0000269	0.7516761	0.8886691	0.0307317	0.2590021	0.5461951	0.3186362	0.6487306
400	0.3576845	0.6770502	0.1521772	0.4538824	0.5944134	0.0416104	0.1768648	0.2332160	0.2089159	0.0388658	0.2973327	0.0673193	0.0000000	0.7792756	0.9379553	0.0480346	0.2414276	0.5494618	0.2729784	0.7139107
450	0.3495079	0.5661743	0.1735872	0.4481153	0.6122460	0.0392312	0.2205475	0.2573419	0.1529037	0.0561076	0.2452148	0.0520010	0.0002281	0.7066467	1.0086430	0.0282840	0.2668343	0.5712658	0.2545651	0.5503291
500	0.4024682	0.6521696	0.1681712	0.4689443	0.5595696	0.0217623	0.1583159	0.2116928	0.1288912	0.0564948	0.2729992	0.0608604	0.0001659	0.7619789	0.9674931	0.0298571	0.2307318	0.5744163	0.2988473	0.6193023
550	0.4810286	0.8657937	0.5551435	0.5817643	0.4856902	0.0212604	0.3287558	0.2142199	0.1637027	0.3583324	0.3059265	0.0585841	0.0311408	0.5671748	0.9371168	0.0247543	0.3576970	0.5594710	0.4295557	0.6067829
600	0.6119292	1.0025539	0.5431096	0.3969402	0.4669171	0.0285426	0.3437720	0.2176460	0.1352713	0.2867134	0.2201472	0.0317740	0.0294948	0.5088800	0.9874150	0.0139791	0.2870000	0.5159512	0.3692629	0.4804929
650	0.7363185	0.9898424	0.4537005	0.2736035	0.4179989	0.0253578	0.3246134	0.1733514	0.1902122	0.2100083	0.1895719	0.0503433	0.0489864	0.5093430	0.9027262	0.0219874	0.2225089	0.5593974	0.3131537	0.4486629
700	0.8313887	1.0737518	0.4848933	0.3178517	0.4316368	0.0303429	0.3031513	0.1885089	0.2391458	0.2010003	0.1886599	0.0451686	0.0484479	0.5243974	0.9768736	0.0165896	0.2559819	0.4995528	0.2600865	0.3940552
750	0.7630426	1.0513883	0.4525426	0.3387435	0.4426443	0.0363186	0.3240087	0.2150308	0.2382873	0.2283068	0.1838907	0.0388779	0.0521931	0.6345624	0.9691574	0.0193284	0.2888890	0.5400121	0.2613070	0.4267801
800	0.7352087	0.9578179	0.4424893	0.3032209	0.4599882	0.0454573	0.3335610	0.1784950	0.2775821	0.2348026	0.2265217	0.0409715	0.0486161	0.5867648	1.0557883	0.0256093	0.2782085	0.5428566	0.2548507	0.3938126
