"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
950	0.7508499	1.0275486	0.3500542	0.2629943	0.3674326	0.0375644	0.3034454	0.1610201	0.2553548	0.1901099	0.1585583	0.0329268	0.0427949	0.5914475	0.9924162	0.0188694	0.2205428	0.4259240	0.2187821	0.4117700
1000	0.7765208	0.9742611	0.3958932	0.2516653	0.3823962	0.0755194	0.3200453	0.1231043	0.2513289	0.1556999	0.1677261	0.0494953	0.0535196	0.5968691	0.8906192	0.0278262	0.1898273	0.4320262	0.2065808	0.3436185

0	0.8070865	1.0860969	0.4540315	0.2581129	0.4022875	0.0606355	0.3503206	0.1824606	0.2719058	0.1955380	0.2316410	0.0246904	0.0467578	0.6182916	0.9351447	0.0261620	0.2361414	0.4809806	0.1871223	0.3701220
50	0.8393421	0.9637825	0.4536334	0.0836451	0.3910531	0.0970503	0.2735194	0.1205711	0.0806366	0.1626896	0.0924276	0.0364293	0.0406268	0.8930007	1.0516881	0.0275932	0.2061598	0.3961089	0.1245899	0.4687858
100	0.8365559	0.9934833	0.4705082	0.0528710	0.3588596	0.1823311	0.2960191	0.1415079	0.0377951	0.1885608	0.1132707	0.0486678	0.0366915	0.9530125	0.9257979	0.0223582	0.1654157	0.3086019	0.0829818	0.4552700
150	0.8572695	1.0939445	0.4186147	0.0288648	0.3515540	0.5737097	0.5083728	0.1389019	0.0115590	0.2176059	0.1056750	0.0365763	0.0304778	0.9939571	1.0188953	0.0209156	0.1664250	0.2487652	0.0724751	0.4077811
200	0.9127348	1.0563445	0.4546103	0.0199682	0.3451560	0.7824840	0.7079876	0.1716375	0.0060567	0.1675520	0.0862839	0.0243753	0.0365777	0.9479348	0.9298542	0.0101205	0.1715645	0.2786934	0.0876828	0.3941429
250	0.8709482	0.9524798	0.4404086	0.0273748	0.3473486	0.9520020	0.6795437	0.1273065	0.0017411	0.1342648	0.0921069	0.0310347	0.0445608	1.0241265	0.9575531	0.0309693	0.1707585	0.2529744	0.0706769	0.3191027
300	0.8331892	1.0753486	0.4366352	0.0219104	0.3675619	0.9890909	0.7598481	0.1085365	0.0019332	0.1821358	0.1107787	0.0358972	0.0337755	0.9231333	0.9337797	0.0184125	0.1808580	0.2650484	0.0698658	0.3993189
350	0.7938184	1.0189022	0.4699221	0.0192719	0.3978473	1.0311072	0.7384110	0.0865184	0.0004018	0.1499272	0.0940531	0.0458439	0.0336645	1.0117414	0.9251041	0.0186751	0.2016126	0.3003474	0.0803569	0.3839896
400	0.8136767	0.9369368	0.5083023	0.0128185	0.3815636	1.0160759	0.7534583	0.1246245	0.0000974	0.1585253	0.1163278	0.0427714	0.0447404	0.9070001	0.9543725	0.0139783	0.2246459	0.2856746	0.0944394	0.4237395
450	0.8293058	1.0269617	0.5116741	0.0167620	0.4789102	1.0208785	0.8103302	0.1499717	0.0002269	0.2603240	0.1064292	0.0390122	0.0469929	0.9359449	0.9848930	0.0212410	0.2321637	0.2883823	0.1051045	0.5153155
500	0.8334251	1.0122633	0.5038991	0.0279017	0.4781633	0.9805880	0.7403735	0.1271699	0.0011812	0.2048602	0.1128560	0.0112731	0.0526123	1.0351670	0.9692555	0.0306505	0.2264304	0.3201075	0.0968375	0.3446924
550	0.7990080	0.9110366	0.5105040	0.2474073	0.3801446	0.8923369	0.8600773	0.1961779	0.2623309	0.2501077	0.1911737	0.0420482	0.0549055	0.7090514	0.9944693	0.0272864	0.3117356	0.4343687	0.2374754	0.4027574
600	0.7573336	0.8882601	0.5316659	0.3353828	0.3580740	0.3831483	0.6193658	0.2268443	0.2728534	0.2024056	0.2100653	0.0475346	0.0535262	0.6051603	0.8996949	0.0129524	0.2663363	0.4488330	0.2266292	0.4289877
650	0.7237138	0.9353992	0.5101351	0.3493360	0.3881037	0.1162872	0.4260306	0.2612680	0.2368025	0.2008001	0.1992262	0.0373679	0.0616332	0.5893752	0.9684967	0.0081253	0.2409395	0.4594196	0.2527488	0.4269255
700	0.7072181	0.9644782	0.5371673	0.4090589	0.3669979	0.0539714	0.3127614	0.2512279	0.2229729	0.2231629	0.1736772	0.0362638	0.0507913	0.5511120	0.9074596	0.0130652	0.2668493	0.4461031	0.3084955	0.4273309
750	0.7728007	0.9021843	0.5051733	0.3374867	0.4419505	0.0280999	0.2990799	0.2589492	0.2086501	0.2406951	0.1821182	0.0367907	0.0614885	0.5376107	1.0507011	0.0078177	0.2757639	0.4682568	0.3070289	0.4373567
800	0.7508785	1.0084481	0.4935388	0.2641018	0.4098416	0.0165801	0.2467570	0.2856046	0.2306730	0.1938560	0.2112738	0.0442823	0.0352538	0.6005101	1.0581614	0.0133306	0.2414116	0.5401278	0.2851553	0.4070505
850	0.7246806	1.0084920	0.4573802	0.2588875	0.3697466	0.0188853	0.2639849	0.2608133	0.2319099	0.2064305	0.2155500	0.0462191	0.0410076	0.6237353	1.0044426	0.0143937	0.1984742	0.5315847	0.2421782	0.3457971
900	0.7767918	1.0124441	0.3583037	0.2082759	0.2984597	0.0556086	0.2857793	0.1878699	0.2285319	0.1886633	0.1587565	0.0557526	0.0430269	0.6021092	1.0139511	0.0284318	0.1657712	0.4665945	0.1990726	0.3042070
950	0.8454973	0.9753665	0.4505906	0.2065621	0.3972211	0.0843370	0.3274970	0.1614716	0.2463687	0.1493506	0.1842379	0.0539690	0.0415279	0.6258836	0.9804032	0.0159408	0.2174396	0.4311480	0.1639728	0.3771947
1000	0.7796971	0.8813172	0.4929274	0.2938090	0.4672964	0.0570708	0.3791250	0.1660674	0.2651345	0.1958773	0.2073005	0.0424709	0.0473210	0.5738780	0.9920415	0.0197169	0.2500722	0.4307301	0.2157972	0.3383043

0	0.8070865	1.0860969	0.4540315	0.2581129	0.4022875	0.0606355	0.3503206	0.1824606	0.2719058	0.1955380	0.2316410	0.0246904	0.0467578	0.6182916	0.9351447	0.0261620	0.2361414	0.4809806	0.1871223	0.3701220
50	0.8156344	0.9700031	0.4456360	0.3009872	0.4030584	0.0420736	0.3480533	0.1854423	0.0892432	0.2239110	0.2171420	0.0391300	0.0370319	0.8545216	0.9672696	0.0322340	0.2054819	0.2711328	0.1398029	0.4415348
100	0.7749467	1.0084291	0.4303008	0.2598506	0.3730869	0.0244460	0.2815098	0.1763853	0.0415091	0.1972195	0.2407505	0.0344646	0.0527322	0.8916238	1.0082956	0.0222862	0.2192842	0.1974241	0.1002320	0.4486719
150	0.8022987	1.0328533	0.4218462	0.2958585	0.4254186	0.0505376	0.2761920	0.1373982	0.0294368	0.1906971	0.1928984	0.0204125	0.0479886	0.9247587	0.9428189	0.0288800	0.2341619	0.1431508	0.0807393	0.3665029
200	0.8094649	1.0025370	0.4657250	0.2703392	0.3919783	0.0475496	0.3160251	0.1284503	0.0188168	0.1887142	0.1938511	0.0225459	0.0423417	0.9436767	0.9989027	0.0283816	0.2550445	0.1217938	0.0833223	0.4196557
250	0.7685901	1.0101418	0.5167950	0.2787616	0.3888867	0.0679671	0.3327874	0.1170261	0.0187992	0.2146715	0.1657329	0.0523671	0.0424927	0.9551173	1.0760317	0.0239803	0.2355321	0.1054875	0.0792664	0.3909858
300	0.8099320	1.0439036	0.5041936	0.2585960	0.3663040	0.0498841	0.3393354	0.1871931	0.0147396	0.1959127	0.1729440	0.0448306	0.0403467	0.9402768	0.9498388	0.0321206	0.2028020	0.1184539	0.0725205	0.4097218
350	0.8503928	1.0262166	0.4504049	0.2819957	0.3621124	0.0451054	0.2812331	0.2334635	0.0124087	0.1480005	0.1880914	0.0351151	0.0357715	1.0251046	0.9308656	0.0306506	0.2473096	0.0759291	0.0744435	0.3610591
400	0.8644755	1.0122285	0.4181266	0.2911479	0.3289708	0.0406750	0.3266378	0.1781753	0.0156660	0.1588417	0.2090323	0.0359683	0.0283290	0.9184250	1.0012435	0.0197924	0.2374653	0.1209081	0.0914276	0.3847763
450	0.8091754	0.9487085	0.4182912	0.2514571	0.3542194	0.0591824	0.3281531	0.1410563	0.0227684	0.1791256	0.2054807	0.0507126	0.0311123	0.9422797	1.0270129	0.0119440	0.2254090	0.1246414	0.0815454	0.3968364
500	0.7741914	1.0099879	0.4286921	0.3387091	0.3969302	0.0691013	0.2988206	0.1710240	0.0160128	0.2079553	0.2017332	0.0416926	0.0331275	0.9201316	1.0066841	0.0171037	0.2617255	0.1321334	0.1033016	0.4044845
550	0.8108182	1.0701192	0.5046122	0.2776059	0.4100717	0.0571258	0.3650736	0.1443270	0.2097069	0.2019707	0.1602733	0.0568257	0.0449519	0.6740720	0.9125807	0.0132935	0.2497837	0.3177872	0.1709004	0.4274147
600	0.8421813	1.0597565	0.4804200	0.3152978	0.3855142	0.0330511	0.3118176	0.2005023	0.2228539	0.2008764	0.1728696	0.0555238	0.0461907	0.5731948	0.9561284	0.0195194	0.2178081	0.4241913	0.1465431	0.3700739
650	0.8021046	1.0680560	0.4716915	0.3093380	0.3930881	0.0494735	0.2590001	0.1771621	0.2189917	0.1583868	0.1583819	0.0504761	0.0383800	0.5233459	0.9902020	0.0185101	0.2097482	0.4515924	0.1327073	0.3653648
700	0.7579533	0.9691945	0.4326500	0.2916041	0.4481748	0.0439289	0.3137114	0.1825224	0.2335938	0.1929962	0.1421594	0.0430407	0.0340902	0.5070658	0.9869415	0.0160133	0.1814546	0.4927617	0.1601559	0.3795299
750	0.8106146	1.0119177	0.3964301	0.2612193	0.4594120	0.0594265	0.3273816	0.2130304	0.3017671	0.2018932	0.1670839	0.0314953	0.0321293	0.5225716	0.9477925	0.0171839	0.2594685	0.4363176	0.1934507	0.3950887
800	0.8712059	1.0324201	0.4852841	0.3125459	0.3859627	0.0532265	0.3223161	0.1643220	0.2657692	0.2366889	0.1990616	0.0322960	0.0377067	0.5538237	0.9357088	0.0130038	0.2370188	0.4787615	0.1948030	0.4136446
850	0.8322872	1.0346336	0.4465599	0.2820870	0.3949009	0.0625206	0.3578322	0.1940391	0.3226379	0.1954430	0.1363350	0.0459055	0.0411384	0.5804261	0.8987991	0.0186331	0.2277770	0.5070369	0.2170455	0.4055383
900	0.7942830	0.9806402	0.4504252	0.2670442	0.3952427	0.0356339	0.3547582	0.1966184	0.2627395	0.1722618	0.1883389	0.0266231	0.0544496	0.6286501	0.9547040	0.0274674	0.2683702	0.4396352	0.2212425	0.3853168
950	0.7119908	0.9532534	0.4293244	0.3445721	0.3936099	0.0443043	0.2954323	0.1862610	0.2751767	0.2134154	0.2141961	0.0392036	0.0512135	0.6126847	0.9557329	0.0153449	0.2861038	0.5128979	0.2234339	0.4156595
1000	0.7497772	1.0005655	0.5079672	0.3197575	0.3551341	0.0340403	0.2878537	0.2235676	0.2250241	0.2235614	0.2076589	0.0448041	0.0441768	0.6288054	0.9946040	0.0350322	0.2712694	0.4675930	0.2566819	0.3657279

0	0.8070865	1.0860969	0.4540315	0.2581129	0.4022875	0.0606355	0.3503206	0.1824606	0.2719058	0.1955380	0.2316410	0.0246904	0.0467578	0.6182916	0.9351447	0.0261620	0.2361414	0.4809806	0.1871223	0.3701220
50	0.7007140	0.4886467	0.5728506	0.3911984	0.4618529	0.0590720	0.3578798	0.1795065	0.1978695	0.3190002	0.2898232	0.0504580	0.0440963	0.5364014	1.0093810	0.0072619	0.3008975	0.4328283	0.3262964	0.5156747
100	0.4166488	0.2507290	0.7528710	0.7593418	0.5701518	0.0416862	0.4658261	0.2863616	0.1736469	0.5967154	0.3635027	0.1115504	0.0270453	0.3810477	0.7911538	0.0016946	0.5357536	0.5774820	0.6897766	0.6717210
150	0.2067276	0.2026954	0.8684749	0.9850364	0.7400972	0.0282837	0.5919884	0.5087729	0.1366819	0.7758080	0.4903564	0.1381627	0.0314341	0.2256757	0.5189700	0.0285436	0.7178169	0.6755454	0.8252952	0.8164012
200	0.1314074	0.1724012	0.9945056	1.0433223	0.7486232	0.0261188	0.6942927	0.7258792	0.1380174	0.8740807	0.6705611	0.2265007	0.0468043	0.1432417	0.3032440	0.0988509	0.9051237	0.7832948	0.8788346	0.9000096
250	0.0810108	0.1765898	0.9646773	1.0521527	0.8324125	0.0200625	0.8241348	0.8335673	0.2086422	0.9442402	0.7948081	0.2591739	0.0291810	0.1188376	0.1322080	0.1956103	0.9371431	0.8512095	0.9605365	0.9482952
