"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
650	0.7299491	0.1063471	0.8288089	0.1141081	0.6125575	0.3727738	0.3042833	0.8011354	0.2683862	0.1990260
700	0.7103332	0.0664672	0.6158724	0.0849667	0.4084899	0.1557826	0.1805473	0.7195988	0.2238601	0.2300910
750	0.5756796	0.0137294	0.8055789	0.0622340	0.2513738	0.2155442	0.1992604	0.6787909	0.3182683	0.1248247
800	0.6458543	0.0250392	0.7619154	0.0606487	0.2474354	0.1410791	0.1440887	0.7573430	0.3266522	0.0962847
850	0.7474843	0.0003189	0.7627197	0.0596674	0.1502981	0.1590566	0.1307533	0.7011079	0.1927673	0.0899540
900	0.5806454	0.0024836	0.5627434	0.0994727	0.1020653	0.1101095	0.1273650	0.6935639	0.3001660	0.0722238
950	0.6918988	0.0000000	0.6661543	0.0440106	0.1743957	0.1355529	0.1444014	0.7050353	0.2782505	0.1030497
1000	0.5687980	0.0004453	0.5417625	0.0227317	0.1495725	0.1460416	0.1632621	0.7023617	0.2716850	0.0938714

0	0.8904471	0.0077382	0.7264138	0.0443997	0.1173871	0.1630838	0.1577068	0.6647985	0.3597266	0.0909084
50	0.7730674	0.0040957	0.7232279	0.0146425	0.1036159	0.1417560	0.1773182	0.7372969	0.3189092	0.0887001
100	0.7413600	0.0004520	0.6887512	0.0086598	0.1329466	0.0896469	0.1683703	0.7204905	0.3112668	0.1072082
150	0.7992089	0.0003426	0.6773736	0.0049412	0.1607638	0.1034925	0.1772242	0.6994471	0.3513090	0.0943171
200	0.6764421	0.0018624	0.7423528	0.0042149	0.0735350	0.1692413	0.1237544	0.8567379	0.3057721	0.0652931
250	0.8108447	0.0013903	0.6893868	0.0019358	0.0763470	0.1271757	0.1431977	0.6980358	0.2918938	0.1340950
300	0.7016472	0.0021735	0.6286503	0.0003726	0.1074331	0.1157595	0.1039394	0.6723944	0.2725971	0.0921744
350	0.7620578	0.0007858	0.6798261	0.0026655	0.1980398	0.1331780	0.1266978	0.6539405	0.2614671	0.1767038
400	0.6863804	0.0004652	0.6178650	0.0092607	0.1587226	0.1616125	0.1245410	0.5846155	0.3150068	0.1140096
450	0.6851541	0.0001045	0.5938485	0.0020870	0.1289511	0.1426665	0.1310957	0.7618526	0.3435608	0.1423526
500	0.7950731	0.0000169	0.6865918	0.0033852	0.0987613	0.1473407	0.1512564	0.7739276	0.3407488	0.1357762
550	0.6722790	0.0023484	0.5840463	0.0205980	0.1564216	0.0971724	0.1515538	0.6109374	0.3277357	0.0975287
600	0.5238513	0.0016056	0.6853979	0.0201062	0.1807469	0.1884805	0.1692176	0.7892827	0.3107825	0.0662698
650	0.6782116	0.0000920	0.7683442	0.0422153	0.1908084	0.1269335	0.1401946	0.7007209	0.2500356	0.0438886
700	0.6184878	0.0007909	0.6448420	0.0497835	0.1641269	0.1353882	0.1314642	0.6284267	0.3315032	0.0541326
750	0.7132259	0.0018165	0.7020504	0.0715132	0.1470875	0.1185822	0.1109736	0.6171553	0.3139097	0.0668915
800	0.8995455	0.0000085	0.7490658	0.0682326	0.1686140	0.1623480	0.1708528	0.6324798	0.4061573	0.1181564
850	0.6798874	0.0030097	0.6861352	0.0461527	0.1244567	0.2313416	0.2249246	0.5946160	0.2853729	0.1435022
900	0.6670323	0.0044530	0.5874918	0.0322722	0.2060319	0.1045456	0.1580548	0.6997538	0.3579129	0.0610547
950	0.7454980	0.0092859	0.6498535	0.0629555	0.2095507	0.1398905	0.1362569	1.0134057	0.2887113	0.0966833
1000	0.7001157	0.0029234	0.6289948	0.0531463	0.1633585	0.1134070	0.1860867	0.7421240	0.3287782	0.0876435

0	0.7357946	0.0045639	0.6387651	0.0361691	0.1944776	0.1741946	0.1211905	0.6990051	0.3505813	0.0777483
50	0.6020474	0.0061897	0.6761696	0.0351879	0.1497841	0.1120031	0.1699671	0.6446342	0.2623531	0.0880314
100	0.6877788	0.0024835	0.6309334	0.0248849	0.1083959	0.1432665	0.1173470	0.5778801	0.3358953	0.0686430
150	0.7386084	0.0054470	0.6673893	0.0174924	0.1126089	0.1305643	0.0974444	0.6557846	0.3047674	0.0817278
200	0.7520814	0.0093472	0.8607730	0.0020652	0.2433091	0.1635570	0.1585478	0.6423793	0.3293610	0.0677119
250	0.7072060	0.0066198	0.5558030	0.0022010	0.2428460	0.0850932	0.1203763	0.5175729	0.3592370	0.0408093
300	0.6235354	0.0042473	0.6556422	0.0024187	0.2041158	0.1502080	0.1463990	0.5643912	0.3697809	0.0279223
350	0.6450470	0.0036742	0.7147769	0.0061778	0.1737853	0.0749176	0.1104443	0.8448139	0.3516447	0.0089344
400	0.5702242	0.0025669	0.6868359	0.0034562	0.2171319	0.0548894	0.1044482	0.6389649	0.4166788	0.0122543
450	0.7378924	0.0050887	0.8119580	0.0052419	0.1306619	0.0705655	0.0949843	0.6879992	0.3648585	0.0638274
500	0.6474146	0.0144280	0.6356543	0.0045133	0.1964485	0.1260114	0.0706760	0.4939274	0.3089445	0.0460799
550	0.6901300	0.0032085	0.7113234	0.0214296	0.1635288	0.1673323	0.1440633	0.5868613	0.3691168	0.0429840
600	0.6681206	0.0011050	0.7633539	0.0828675	0.1642605	0.1227332	0.1489127	0.6866933	0.2885105	0.0570238
650	0.6758553	0.0005537	0.7715847	0.0259210	0.1288090	0.1406742	0.1674279	0.6638853	0.2729513	0.0751799
700	0.6920097	0.0060014	0.7559416	0.0840742	0.1642284	0.1424406	0.1025076	0.7830045	0.3592793	0.0994483
750	0.7733461	0.0015826	0.6253157	0.0398715	0.0937858	0.1686622	0.1423554	0.6154145	0.3281223	0.0720975
800	0.6547321	0.0014155	0.7105469	0.0687734	0.1598879	0.1839539	0.0912692	0.7592568	0.2859212	0.1061042
850	0.7277618	0.0075127	0.5879364	0.0600808	0.1493175	0.1328215	0.1324480	0.6348308	0.4167669	0.0838843
900	0.6648942	0.0077893	0.6850208	0.0474128	0.1610840	0.0958522	0.0645863	0.6399467	0.3110626	0.1075158
950	0.7277907	0.0018307	0.6663689	0.0790556	0.1547155	0.1859092	0.0968308	0.7618710	0.4028464	0.0569407
1000	0.7615152	0.0012511	0.6209545	0.0453507	0.1555907	0.1198966	0.1396881	0.6236556	0.3916124	0.0720412
