"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
450	0.0432030	0.8361549	1.0000000	0.0676470	0.0730856	0.0895906	0.0028644	0.6015088	0.4772933	0.1279225
500	0.0431918	0.8424958	1.0000000	0.0676470	0.0730538	0.0895897	0.0028611	0.6014878	0.4772933	0.1279225
550	0.7181163	0.3620039	1.0000000	0.0676470	0.1614990	0.1751327	0.1405222	0.8593558	0.4772933	0.1279225
600	0.9169547	0.1241413	1.0000000	0.0676470	0.1981454	0.1990203	0.1827944	0.9499735	0.4772933	0.1279225
650	0.9755342	0.0441055	1.0000000	0.0676470	0.2133294	0.2056908	0.1957751	0.9818176	0.4772933	0.1279225
700	0.9927922	0.0171945	1.0000000	0.0676470	0.2196207	0.2075535	0.1997612	0.9930079	0.4772933	0.1279225
750	0.9978765	0.0081468	1.0000000	0.0676470	0.2222275	0.2080736	0.2009852	0.9969403	0.4772933	0.1279225
800	0.9993744	0.0051050	1.0000000	0.0676470	0.2233075	0.2082189	0.2013610	0.9983222	0.4772933	0.1279225
850	0.9998157	0.0040824	1.0000000	0.0676470	0.2237551	0.2082594	0.2014765	0.9988078	0.4772933	0.1279225
900	0.9999457	0.0037386	1.0000000	0.0676470	0.2239405	0.2082708	0.2015119	0.9989785	0.4772933	0.1279225
950	0.9999840	0.0036230	1.0000000	0.0676470	0.2240173	0.2082739	0.2015228	0.9990385	0.4772933	0.1279225
1000	0.9999953	0.0035842	1.0000000	0.0676470	0.2240491	0.2082748	0.2015261	0.9990595	0.4772933	0.1279225

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	1.0000000	0.0035645	1.0000000	0.0676482	0.2240775	0.2082775	0.4521439	0.9990704	0.4772918	0.1279292
100	1.0000000	0.0035645	1.0000000	0.0676475	0.2240742	0.2082762	0.5291014	0.9990707	0.4772927	0.1279254
150	1.0000000	0.0035645	1.0000000	0.0676472	0.2240727	0.2082756	0.5527330	0.9990709	0.4772930	0.1279237
200	1.0000000	0.0035645	1.0000000	0.0676471	0.2240721	0.2082753	0.5599897	0.9990709	0.4772932	0.1279230
250	1.0000000	0.0035645	1.0000000	0.0676471	0.2240719	0.2082752	0.5622180	0.9990709	0.4772933	0.1279227
300	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5629023	0.9990709	0.4772933	0.1279226
350	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5631124	0.9990710	0.4772933	0.1279225
400	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5631769	0.9990710	0.4772933	0.1279225
450	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5631968	0.9990710	0.4772933	0.1279225
500	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5632028	0.9990710	0.4772933	0.1279225
550	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.3125889	0.9990710	0.4772933	0.1279225
600	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2356317	0.9990710	0.4772933	0.1279225
650	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2120001	0.9990710	0.4772933	0.1279225
700	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2047435	0.9990710	0.4772933	0.1279225
750	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2025151	0.9990710	0.4772933	0.1279225
800	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2018308	0.9990710	0.4772933	0.1279225
850	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2016207	0.9990710	0.4772933	0.1279225
900	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015562	0.9990710	0.4772933	0.1279225
950	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015364	0.9990710	0.4772933	0.1279225
1000	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015303	0.9990710	0.4772933	0.1279225

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	1.0000000	0.0035645	1.0000000	0.0337291	0.2236133	0.1333500	0.0974191	0.9992722	0.4804670	0.4607019
100	1.0000000	0.0035645	1.0000000	0.0192253	0.2228098	0.1093010	0.0652173	0.9996377	0.4866529	0.5215189
150	1.0000000	0.0035645	1.0000000	0.0130238	0.2223520	0.1009788	0.0552482	0.9998479	0.4905180	0.5260940
200	1.0000000	0.0035645	1.0000000	0.0103721	0.2221441	0.0980244	0.0521656	0.9999387	0.4922642	0.5226442
250	1.0000000	0.0035645	1.0000000	0.0092383	0.2220545	0.0969576	0.0512129	0.9999746	0.4929761	0.5198740
300	1.0000000	0.0035645	1.0000000	0.0087535	0.2220166	0.0965638	0.0509183	0.9999885	0.4932615	0.5183907
350	1.0000000	0.0035645	1.0000000	0.0085462	0.2220006	0.0964144	0.0508270	0.9999938	0.4933776	0.5176891
400	1.0000000	0.0035645	1.0000000	0.0084576	0.2219938	0.0963561	0.0507987	0.9999958	0.4934256	0.5173740
