"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
250	0.6899125	0.7698788	0.1849187	0.5101786	0.5826986	0.2798939	0.6629365	0.0045335	0.4707110	0.0549336
300	0.7887072	0.8697860	0.1631367	0.5548843	0.4993867	0.3778750	0.6654717	0.0064030	0.4587469	0.0390900
350	0.6993414	0.7446592	0.1536607	0.6096174	0.6239751	0.3549970	0.7603958	0.0020986	0.3372942	0.0216551
400	0.6081429	0.6541349	0.2193322	0.5943055	0.5900332	0.2190427	0.7302383	0.0082645	0.3146640	0.0487016
450	0.7180144	0.6403682	0.1620577	0.5920566	0.5169332	0.2400538	0.8229640	0.0135905	0.4556737	0.0713634
500	0.7949721	0.8731445	0.1814897	0.5259929	0.3785449	0.3522345	0.7784882	0.0080161	0.4757380	0.0413784
550	0.7416038	0.8167997	0.1578716	0.5769887	0.4505181	0.2309364	0.8573703	0.0292825	0.4115036	0.0242273
600	0.7934953	0.6805535	0.1443288	0.6457053	0.4805334	0.3338975	0.7116790	0.1295101	0.3780441	0.0193795
650	0.8906631	0.6122812	0.1602736	0.7637244	0.3502076	0.2929035	0.8005975	0.2114298	0.4056576	0.0548673
700	0.7106225	0.6380677	0.1666748	0.8573721	0.4430632	0.2793044	0.6468366	0.2246841	0.6082564	0.0400318
750	0.7250805	0.7862607	0.1547639	0.8213505	0.3878350	0.2639341	0.6553937	0.1910063	0.6223304	0.0430010
800	0.6985751	0.7923573	0.1370020	0.7688448	0.3526700	0.3226267	0.8944725	0.1943567	0.3377165	0.0223992
850	0.6531996	0.6755957	0.1810908	0.5948507	0.4104948	0.3063980	0.7818556	0.1800521	0.5166803	0.0391939
900	0.6820860	0.6846134	0.1728252	0.6739930	0.4260258	0.3361499	0.7248114	0.1857261	0.4424944	0.0384613
950	0.6285813	0.7597087	0.1243268	0.7598088	0.4046429	0.3080017	0.6360261	0.2411498	0.4751278	0.0610642
1000	0.6485633	0.7073908	0.1584947	0.6279937	0.4841955	0.3028403	0.9903048	0.2031333	0.5344543	0.0593621

0	0.7931892	0.7397811	0.2141276	0.7046835	0.4572342	0.2806745	0.6563055	0.1758386	0.5718493	0.0780288
50	0.6285016	0.6862491	0.1519340	0.5198093	0.3909991	0.2650205	0.8643439	0.1785419	0.3580012	0.0533351
100	0.5228656	0.7063437	0.2090834	0.5236026	0.3021400	0.2276669	0.5339214	0.1690347	0.4076906	0.0073852
150	0.3462346	0.7388167	0.3562069	0.5459583	0.3166703	0.1713880	0.8438193	0.2272897	0.4773341	0.0164164
200	0.2966044	0.7234251	0.3994719	0.5528808	0.2446869	0.1399108	0.8181940	0.2717535	0.6062616	0.0082175
250	0.2490368	0.7839128	0.5852507	0.3007719	0.2216288	0.2350119	0.7516673	0.2845176	0.5535561	0.0136964
300	0.2521524	0.7631515	0.4527600	0.3404691	0.1777376	0.1563936	0.7956322	0.3794537	0.5600009	0.0294996
350	0.2642826	0.7521619	0.5634930	0.4158982	0.1542029	0.1328360	0.7416757	0.2810783	0.5844506	0.0551380
400	0.2982038	0.7149831	0.7468646	0.2385340	0.1809221	0.1117075	0.6349821	0.2644008	0.5355642	0.0709165
450	0.2683409	0.6680139	0.6965474	0.3028933	0.0901241	0.1362866	0.4139588	0.3442083	0.5904453	0.0269900
500	0.3442757	0.6299421	0.7285559	0.2385294	0.1006464	0.1587978	0.5664148	0.3145239	0.5191612	0.0238432
550	0.4522132	0.7598222	0.7375758	0.2710984	0.0546931	0.1748345	0.4455807	0.4188741	0.5959822	0.0240853
600	0.6460551	0.6657429	0.5163598	0.3672538	0.1078355	0.2270079	0.5683798	0.2773229	0.4736012	0.0513885
650	0.6522169	0.6497307	0.3972177	0.5583074	0.1222297	0.2044225	0.6421929	0.2234212	0.4337125	0.0520113
700	0.6551566	0.6852843	0.3680648	0.5117628	0.0986933	0.1987560	0.6307053	0.1871166	0.5256760	0.0374257
750	0.7830151	0.6933589	0.3144661	0.6973105	0.1301928	0.2137315	0.7989711	0.2037686	0.3989609	0.0314216
800	0.6941260	0.6720828	0.1842398	0.5995751	0.2542282	0.2364854	0.8031558	0.1924239	0.4082820	0.0618715
850	0.8389663	0.6990384	0.2137603	0.6948831	0.2871551	0.2318879	0.8174543	0.2179614	0.4806634	0.0586183
900	0.8110319	0.6803797	0.1591196	0.6405897	0.2981681	0.2593777	0.6805207	0.1658387	0.5546342	0.0571091
950	0.7198378	0.7241583	0.1370696	0.8718287	0.3470462	0.3050910	0.7637819	0.2235884	0.4260205	0.0372122
1000	0.7619328	0.6992151	0.1373549	0.7529230	0.3558873	0.2445073	0.8841541	0.1360773	0.4683320	0.0332027

