"Time"	gadX	torR	hdeA	hdeB	yhiD
200	0.2512737	0.9194959	0.7028279	0.9779013	0.5936175
250	0.2539447	0.9437758	0.8297797	0.9794381	0.5686539
300	0.2147055	0.9092955	0.6693338	1.0148777	0.5862640
350	0.2310979	0.9066392	0.6970584	0.9839438	0.6340449
400	0.2616765	0.9358108	0.7417314	0.9657976	0.5743887
450	0.2949480	1.0000169	0.6771381	0.8882684	0.5700228
500	0.2618420	1.0492931	0.7594138	1.0579614	0.4810541
550	0.2889634	0.9747826	0.7226841	0.9917813	0.5203202
600	0.2360159	0.9488576	0.7191740	1.0243889	0.5707928
650	0.2200020	0.9412758	0.7767211	1.0211524	0.5844459
700	0.2149125	1.0347121	0.6887858	0.9146149	0.5028019
750	0.2021619	1.1262976	0.7143604	0.9299903	0.4793271
800	0.2134825	1.0399454	0.7600972	0.9436839	0.5791499
850	0.2199984	1.1239785	0.6849637	0.9280155	0.5354174
900	0.2369736	1.0296612	0.7889053	0.9812719	0.4841905
950	0.2359886	1.0025671	0.7455663	0.9501856	0.5456154
1000	0.2445202	1.0239739	0.7371664	0.8963120	0.5497372

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.1929569	1.0378744	0.7649964	0.9047693	0.5388537
100	0.1966100	1.0054291	0.7136114	0.8607760	0.3982354
150	0.2463776	1.0349260	0.7721121	0.8704947	0.4986946
200	0.2156647	1.0012414	0.7152947	0.9346883	0.5499373
250	0.2387216	0.9563576	0.7903809	0.9133302	0.5131545
300	0.2610762	0.9591451	0.7559805	1.0072981	0.5512504
350	0.2555581	0.8945047	0.8210806	0.8883532	0.5791632
400	0.2480849	0.9277486	0.7074819	0.9219176	0.6246021
450	0.2384070	0.8901856	0.6990155	0.8814379	0.5585448
500	0.2511978	1.0770907	0.7361646	0.9330918	0.5251570
550	0.2620519	0.9911792	0.7534662	0.8944229	0.5824927
600	0.2512326	1.0338579	0.8361720	0.8316813	0.6531681
650	0.2686618	1.0090961	0.8406514	0.8117070	0.6205949
700	0.2443289	1.0539161	0.7930718	0.8363350	0.5595576
750	0.2835482	0.9695786	0.7413171	0.8615978	0.6129480
800	0.2692071	0.9844355	0.7285779	0.8862591	0.5561932
850	0.2518001	0.9130196	0.6434333	0.9250634	0.5928639
900	0.2671859	0.8770040	0.7395850	0.8679509	0.5340671
950	0.3292777	0.8449093	0.6968589	0.8319824	0.6123757
1000	0.3195746	0.9622464	0.7341840	0.8390326	0.5317236

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2688482	1.0248790	0.8556857	0.9090273	0.5383813
100	0.1720807	0.9214434	0.8046426	1.0173057	0.5293256
150	0.1676574	0.8968933	0.8123076	0.8491661	0.5200093
200	0.1951693	0.8970318	0.7880012	0.9098028	0.5187576
250	0.2125983	1.0864460	0.8125940	0.8536165	0.5514970
300	0.2027358	0.9634508	0.8578587	0.9479161	0.5135346
350	0.1999033	0.9732930	0.7443765	0.8831349	0.4821635
400	0.1869067	0.9558394	0.7315662	0.8748974	0.5694762
450	0.1867398	0.9604149	0.6787316	0.8287335	0.5474760
500	0.2100098	0.9539039	0.7556185	0.8620015	0.5047258
550	0.2201137	1.0239365	0.8894453	0.8179894	0.4605467
600	0.2454348	1.0095109	0.8397959	0.8194358	0.5880616
650	0.2435257	1.0702357	0.7350660	0.8754671	0.5454947
700	0.1842081	1.0007539	0.7402064	0.9646213	0.5619101
750	0.2213077	1.0061412	0.7104401	0.9131466	0.5255855
800	0.2206775	1.0108044	0.7951337	0.8837085	0.5496066
850	0.1818146	1.1519970	0.7540931	0.8983694	0.5468416
900	0.2063123	1.0799696	0.7873503	0.8661026	0.5353340
950	0.2666237	1.1130486	0.7196491	0.8441464	0.4577168
1000	0.2382092	1.0938108	0.7215640	0.9201928	0.6263212

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2298722	0.9156934	0.7684057	0.9376123	0.5874244
100	0.3067499	0.7657472	0.7024311	0.9043402	0.5921745
150	0.3168065	0.5890899	0.7154193	1.0059226	0.5371899
200	0.2974440	0.6509507	0.5781282	0.9629881	0.5255811
250	0.3553933	0.5923627	0.5269678	0.8716100	0.6371082
300	0.3306629	0.5840499	0.5597397	0.9671894	0.6031261
350	0.3478868	0.6606088	0.6127624	0.9059903	0.4808887
400	0.3287818	0.5910600	0.6253799	0.8679542	0.4982182
450	0.3865672	0.6357531	0.6514742	0.8660825	0.5522882
500	0.3144659	0.6260188	0.5948993	0.9371619	0.5137091
550	0.3073704	0.7843726	0.5534760	1.0274012	0.4565551
600	0.2667800	0.7943567	0.6335978	1.0577589	0.4660868
650	0.2480930	0.8905488	0.7107016	1.0782058	0.5364464
700	0.2436261	0.9807114	0.6378753	0.9015405	0.5141366
750	0.2213395	1.0547580	0.6617276	1.0198607	0.4799865
800	0.2039957	1.0294681	0.6819526	1.0171989	0.5425207
850	0.2231407	0.9617562	0.6893157	0.9467886	0.6094471
900	0.2456824	1.0781659	0.7000441	0.9601876	0.5915655
950	0.2279107	1.1230075	0.7737732	0.8856333	0.5790107
1000	0.2041020	1.0926005	0.7489001	0.8553628	0.5328517

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2800975	0.9645077	0.7778958	1.0091456	0.5379078
100	0.2805112	1.0365068	0.6586930	0.9976636	0.4933062
150	0.2439198	1.0487731	0.7117493	0.9753648	0.5920162
200	0.2380532	1.0588525	0.8249274	0.9711863	0.6425166
250	0.1901805	1.0234294	0.7340735	0.9127703	0.5584869
300	0.1638012	1.0180145	0.8364642	0.9991357	0.5491309
350	0.2672627	0.9635972	0.7790636	0.9672247	0.5458004
400	0.2787559	1.0161528	0.7555732	0.9827860	0.5464408
450	0.2835898	0.9121111	0.8496447	0.9064045	0.5197797
500	0.2632402	1.0242328	0.8003669	0.8865624	0.5313659
550	0.2588828	0.9795203	0.8196049	0.8061365	0.5602166
600	0.2667953	1.0027251	0.7909183	0.8527497	0.5775128
650	0.2678156	1.0885341	0.8387860	0.8813350	0.5454763
700	0.2575161	1.0815360	0.8200657	0.8371058	0.4987303
750	0.2679064	1.0217498	0.8181367	0.8141449	0.4843809
800	0.2277504	1.1097848	0.7496450	0.8921254	0.5778979
850	0.2248453	1.0074355	0.8393693	0.8736250	0.5791148
900	0.2482675	0.9767678	0.7692810	0.8495233	0.5546494
950	0.2109621	1.0088139	0.7789682	0.9036135	0.5218082
1000	0.2758816	1.0599993	0.6832871	0.8519129	0.6072603

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2354660	1.0773935	0.7151423	0.8985592	0.5683924
100	0.2675990	1.0594821	0.6874473	1.0416319	0.5399573
150	0.2648414	0.9592335	0.9037995	1.0734472	0.5050821
200	0.2810486	0.9352416	0.7904727	0.9079000	0.5420729
250	0.2343760	0.9788315	0.7267809	0.9028384	0.5435728
300	0.2834155	1.0544929	0.7711953	0.8548221	0.5209285
350	0.2315451	1.0129072	0.7946590	0.9400889	0.4742095
400	0.2900250	0.9981391	0.7183831	0.9492407	0.5399596
450	0.2357932	1.0120893	0.7291649	0.8969215	0.6024858
500	0.2368608	0.9776423	0.8577045	0.8425672	0.5223315
550	0.2344973	1.0369349	0.8574614	0.9072619	0.4826838
600	0.1721265	0.9946387	0.7297892	0.9265122	0.4676460
650	0.1746872	0.9244576	0.7606411	0.9882840	0.4891609
700	0.2792313	0.9298554	0.8114366	1.0159597	0.5801113
750	0.2459606	1.0521434	0.8118649	0.9376596	0.5743771
800	0.2612773	0.9782127	0.7759312	1.0202487	0.6006070
850	0.2963622	1.0068547	0.8173416	0.9627667	0.5080478
900	0.2245271	1.1370495	0.7014926	0.8925412	0.5058792
950	0.2535546	1.0159369	0.7391223	0.8769483	0.5078257
1000	0.2970493	0.9672820	0.7787708	0.8967350	0.4887128

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2361295	0.9591162	0.7436076	0.8334803	0.7823668
100	0.2703819	0.9952894	0.7963350	0.8224138	0.9020895
150	0.2153025	1.0620640	0.8213735	0.8577417	1.0470912
200	0.2352601	0.9851278	0.8796494	0.8417058	1.0435342
250	0.2490272	0.9721918	0.7877403	0.8581042	0.9654296
300	0.2288772	0.9727009	0.8022548	0.9028683	0.9674944
