"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
650	0.0223734	0.6491697	0.6371457	0.6677167	0.2252573	0.0232446	0.5192077	0.0628250	0.6421366	0.0041824
700	0.0045281	0.7503201	0.6182327	0.6116202	0.2549796	0.0074667	0.6905179	0.0287305	0.5869752	0.0126381
750	0.0107898	0.8103590	0.6775173	0.5497407	0.2961712	0.0244567	0.5890339	0.0144367	0.6845482	0.0212741
800	0.0026823	0.6102573	0.7209510	0.7570745	0.2995262	0.0042907	0.7405397	0.0174748	0.6680919	0.0157103
850	0.0014015	0.7504440	0.7172867	0.6482046	0.2600591	0.0043252	0.5791640	0.0118576	0.5912959	0.0105824
900	0.0121331	0.6235617	0.7329730	0.7254583	0.2776015	0.0060964	0.5578190	0.0074371	0.6173088	0.0066423
950	0.0225351	0.6813879	0.7189022	0.7118643	0.2360706	0.0055509	0.5621799	0.0029914	0.5845027	0.0054091
1000	0.0154292	0.7280759	0.8692233	0.6411565	0.2124105	0.0085562	0.5159522	0.0084372	0.6924014	0.0144521

0	0.0320263	0.7448892	0.7251304	0.7583199	0.3192208	0.0053433	0.5250151	0.0161100	0.6247746	0.0173470
50	0.0283986	0.6091749	0.4626060	0.6308352	0.3334791	0.0114127	0.5316874	0.0181029	0.6027632	0.0569910
100	0.0186038	0.6201238	0.2922844	0.6183254	0.3886291	0.0065591	0.4930835	0.0239966	0.5718907	0.0257574
150	0.0135867	0.6129113	0.1690409	0.6302978	0.3010944	0.0112025	0.6600661	0.0113435	0.6338479	0.0117778
200	0.0698354	0.6639262	0.1502483	0.5725518	0.3968831	0.0110863	0.5569182	0.0296434	0.7629345	0.0073712
250	0.1302568	0.6559704	0.1479394	0.6470696	0.3845860	0.0094737	0.4981695	0.0810625	0.5698828	0.0206627
300	0.2185080	0.6689963	0.1323053	0.7168191	0.3188681	0.0089623	0.4496558	0.1827918	0.5718157	0.0471156
350	0.2198832	0.6572943	0.1407498	0.5617727	0.3847561	0.0062167	0.3947648	0.1917973	0.3956063	0.0368742
400	0.2931650	0.6340159	0.0583680	0.6776309	0.3278530	0.0142967	0.3518028	0.2700019	0.5283753	0.0433065
450	0.4315853	0.6423669	0.1092099	0.5606646	0.3689562	0.0300365	0.4014018	0.2919933	0.5344048	0.1283276
500	0.3945644	0.8139603	0.1259127	0.6470205	0.3065776	0.0090259	0.3289675	0.3429975	0.6042010	0.1018818
550	0.2773723	0.8285617	0.3104907	0.7342908	0.3144699	0.0341691	0.2766096	0.3110466	0.4716887	0.1711956
600	0.1524796	0.6775541	0.4692945	0.6077738	0.2406731	0.0493568	0.1113295	0.2761121	0.5249201	0.0675748
650	0.1017659	0.6431185	0.5572171	0.5208955	0.2434317	0.0334058	0.0947948	0.2131663	0.4753341	0.0580688
700	0.0327067	0.5615562	0.6905780	0.4380685	0.3668019	0.0056882	0.2765563	0.1205337	0.6177198	0.0230659
750	0.0172550	0.6553406	0.6170816	0.5609685	0.3397454	0.0079169	0.3284292	0.0533845	0.5002125	0.0034587
800	0.0201154	0.7437395	0.7020524	0.5039704	0.3265446	0.0102281	0.5094528	0.0795517	0.5713934	0.0088635
850	0.0372920	0.6698720	0.7461959	0.8123111	0.3457302	0.0125570	0.3975270	0.0410321	0.5505132	0.0427562
900	0.0122944	0.6642890	0.7284823	0.6468954	0.2883079	0.0143361	0.4842555	0.0261808	0.6345413	0.0221141
950	0.0050484	0.7525500	0.6266180	0.6044783	0.3031807	0.0127642	0.5909183	0.0099203	0.4947733	0.0143797
1000	0.0070985	0.7078666	0.7071501	0.5723442	0.1978889	0.0015538	0.5355970	0.0075981	0.5519765	0.0084696

0	0.0070551	0.7930439	0.6396515	0.7677047	0.3395851	0.0055104	0.5953690	0.0222108	0.6228999	0.0163280
50	0.0107557	0.8222481	0.6372595	0.3677998	0.2608225	0.0009603	0.5026128	0.0120431	0.5960936	0.0814378
100	0.0119404	0.5612349	0.6743782	0.2167029	0.2853981	0.0029519	0.5574168	0.0130958	0.6334391	0.1286976
150	0.0505650	0.6323533	0.6469040	0.0579267	0.4543937	0.0033420	0.5524262	0.0132095	0.6792264	0.2080647
200	0.1248626	0.5592473	0.7197460	0.0424858	0.6191437	0.0085317	0.6648556	0.0073644	0.6494693	0.2630789
250	0.1693065	0.5630190	0.7271631	0.0195463	0.6136496	0.0007454	0.4941539	0.0169000	0.6523584	0.2537422
300	0.1963842	0.5738711	0.7077241	0.0058323	0.6624725	0.0055952	0.4167484	0.0029973	0.4871361	0.1891189
