"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
500	0.4422822	0.1354710	0.6079317	0.0170876	0.0571041	0.1730647	0.3435288	0.1972786	0.0456626	0.0221817	0.2729795	0.8456563	0.0661001	0.2561736	0.6796987	0.0040149	0.0732559	0.6516410	0.0465925	0.3502506
550	0.5157397	0.1717510	0.7674621	0.0406193	0.0152246	0.1143917	0.2960218	0.1022573	0.0396320	0.0328344	0.2051901	0.9227907	0.0375458	0.2942210	0.7675747	0.0125065	0.1138465	0.3878390	0.0155121	0.4397994
600	0.4305610	0.1865220	0.7148804	0.0180172	0.0212210	0.0809101	0.2655060	0.0938811	0.0341206	0.0382240	0.2528248	0.6680975	0.0422951	0.3497403	0.8568865	0.0059454	0.0851865	0.4155906	0.0410883	0.4509991
650	0.4193012	0.1577425	0.5899812	0.0479797	0.0175291	0.0742857	0.2443425	0.1478664	0.0535746	0.0318681	0.2327841	0.5427827	0.0341365	0.3055571	0.6084503	0.0025880	0.1183037	0.3331908	0.0721132	0.3796656
700	0.4789778	0.1575895	0.5880861	0.0410575	0.0373359	0.0519691	0.2888094	0.1515561	0.1112045	0.0185282	0.2229176	0.7112265	0.0640098	0.3106879	0.7937846	0.0112933	0.1338187	0.3741392	0.0548178	0.4545622
750	0.6201532	0.1464653	0.6233291	0.0244092	0.0311245	0.0461330	0.3448020	0.1819231	0.0541977	0.0308638	0.2743178	0.7931187	0.0888265	0.3460317	0.7744523	0.0057257	0.0869222	0.4374691	0.0485192	0.3080255
800	0.6581370	0.1593749	0.7261826	0.0486274	0.0207872	0.0580125	0.3535448	0.1487530	0.0861108	0.0534090	0.2199806	0.9255560	0.0553615	0.3803422	0.7228381	0.0056035	0.0473328	0.4236233	0.0974910	0.3714447
850	0.5385930	0.2820553	0.6316603	0.0532467	0.0273169	0.0985192	0.4320825	0.2471496	0.1097534	0.0286738	0.2847651	0.6691745	0.0408875	0.3279534	0.6335440	0.0133334	0.1101605	0.3874134	0.0722428	0.4211155
900	0.5762967	0.2252856	0.7219321	0.0351144	0.0185266	0.0983591	0.4633934	0.2016735	0.0742123	0.0174577	0.3354669	0.7371125	0.0397938	0.3493979	0.7540416	0.0158577	0.0736498	0.4268019	0.0601065	0.3837436
950	0.5952862	0.2282366	0.7166914	0.0162802	0.0577113	0.1067867	0.5886025	0.2001422	0.0417552	0.0354445	0.2973642	0.6180497	0.0258466	0.3023819	0.7777817	0.0158482	0.1060720	0.3506295	0.1330245	0.4393562
1000	0.5548821	0.0887203	0.8246595	0.0252108	0.0416336	0.0648499	0.4931332	0.2947421	0.0572039	0.0212650	0.3117127	0.6704898	0.0439090	0.2671424	0.6436172	0.0378181	0.0567736	0.2949026	0.0720935	0.4100806

0	0.4657609	0.1915921	0.8041932	0.0365771	0.0215789	0.0805228	0.4240052	0.2056652	0.0721394	0.0238571	0.2056093	0.7477074	0.0789884	0.2794589	0.8347418	0.0069076	0.1076585	0.2827605	0.0963432	0.4196578
50	0.4913787	0.1818895	0.6257561	0.0399226	0.0308679	0.0249787	0.4093494	0.1497030	0.0955652	0.1164295	0.2618818	0.7525024	0.0303401	0.3194821	0.6871428	0.0244777	0.0497450	0.3771512	0.0730356	0.4931534
100	0.6173612	0.1881925	0.8158772	0.0392010	0.0408221	0.0605797	0.4494197	0.1117436	0.0947260	0.2168085	0.3311198	0.6433964	0.0573624	0.4277780	0.6350681	0.0057784	0.0520015	0.2948174	0.0914003	0.6309159
150	0.5051603	0.1424272	0.7700398	0.0202361	0.0243391	0.0549913	0.4284678	0.1195421	0.0782005	0.2463761	0.3227512	0.6263277	0.0617945	0.2784796	0.6261460	0.0091613	0.0325914	0.3569716	0.0652662	0.7141413
200	0.3737449	0.1470845	0.8124816	0.0215606	0.0273451	0.0634596	0.4184426	0.1078446	0.0308234	0.1847787	0.3221862	0.7858841	0.0193191	0.3150316	0.6147634	0.0035062	0.1071374	0.3341405	0.0403567	0.6274394
250	0.4091685	0.1339429	0.6809778	0.0649650	0.0267772	0.0530109	0.2671918	0.0908135	0.0510036	0.1301662	0.1733366	0.7233435	0.0436084	0.3463698	0.6782835	0.0069630	0.0533313	0.2825831	0.0750446	0.7451240
